wars,from,to,duration,notes,participation, number_participants,who,where,fatalities,url_source,memorials,links
Iraq vs Kurdistan,1982,1996,14,,Iraq,1,Asia,Asia,"20,620",Iraq vs Kurdistan (KDP/PUK),[1],http://www.war-memorial.net/Iraq-vs-Kurdistan-(KDP/PUK)-3.198
Iraq Government vs SCIRI,1982,1996,14,,Iraq,1,Asia,Asia,"1,165",Iraq Government vs SCIRI,,http://www.war-memorial.net/Iraq-Government-vs-SCIRI-3.232
Iranian Govt vs KDPI,1966,1996,30,,Iran,1,Asia,Asia,"2,618",Iranian Govt vs KDPI,,http://www.war-memorial.net/Iranian-Govt-vs-KDPI--3.172
Bosnian Govt vs Serbian and Croatian Insurgents,1992,1995,3,,"Bosnia and Hergovina, Serbia",2,Europe,Europe,"29,103",Bosnian Govt vs Serbian and Croatian Insurgents,[7],http://www.war-memorial.net/Bosnian-Govt-vs-Serbian-and-Croatian-Insurgents--3.206
Croatia vs Serbian Irregulars,1992,1995,3,,"Serbia, Croatia",2,Europe,Europe,"1,442","Croatia vs Serbian Irregulars, Rep. Krajina",[3],"http://www.war-memorial.net/Croatia-vs-Serbian-Irregulars,-Rep.-Krajina-3.196"
Guatemalan Civil War,1965,1995,30,,Guatemala,1,North America,North America,"45,392",Guatemalan Civil War,[2],http://www.war-memorial.net/Guatemalan-Civil-War-3.205
North Yemen vs Secessionists,1994,1994,0,,Yemen,1,Asia,Asia,"1,489",North Yemen vs Secessionists,,http://www.war-memorial.net/North-Yemen-vs-Secessionists--3.204
Nagorno-Karabakh War,1990,1994,4,,"Azerbaijan, Armenia, Soviet Union",3,Asia,Asia,"5,065",Nagorno-Karabakh War,[1],http://www.war-memorial.net/Nagorno-Karabakh-War--3.250
Rwanda Civil War ,1990,1994,4,,"Rwanda, Burundi, France, Democratic Republic of the Congo",4,"Africa, Europe",Africa,"520,718",Rwanda Civil War (Hutus vs Tutsis),[3],http://www.war-memorial.net/Rwanda-Civil-War-(Hutus-vs-Tutsis)----3.202
Burmese Govt vs Communist Guerillas,1948,1994,46,,Myanmar,1,Asia,Asia,"17,700",Burmese Govt vs Communist Guerillas,,http://www.war-memorial.net/Burmese-Govt-vs-Communist-Guerillas---3.168
Georgian Civil War,1992,1993,1,,Georgia,1,Europe,Europe,"2,752",Georgian Civil War,,http://www.war-memorial.net/Georgian-Civil-War-3.199
Indian Govt vs Sikh insurgents,1983,1993,10,,India,1,Asia,Asia,"11,160",Indian Govt vs Sikh insurgents,[2],http://www.war-memorial.net/Indian-Govt-vs-Sikh-insurgents-3.229
Serbian Govt. vs Croatian irregulars,1991,1991,0,,"Serbia",2,Europe,Europe,"3,933",Serbian Govt. vs Croatian irregulars,,http://www.war-memorial.net/Serbian-Govt.-vs-Croatian-irregulars-3.313
First Gulf War,1990,1991,1,,"United States, Iraq, United Kingdom, Kuwait, Saudi Arabia, Philippines, Argentina",7,"Asia, North America, South America, Europe",Asia,"22,848",First Gulf War,[4],http://www.war-memorial.net/First-Gulf-War-3.192
El Salvador Gvt vs FMLN Guerrillas,1979,1991,12,,El Salavador,1,North America,North America,"51,663",El Salvador Gvt vs FMLN Guerrillas,[2],http://www.war-memorial.net/El-Salvador-Gvt-vs-FMLN-Guerrillas-3.194
Ethiopian Government vs EPRDF,1976,1991,15,,Ethiopia,1,Africa,Africa,"56,003",Ethiopian Government vs EPRDF,,http://www.war-memorial.net/Ethiopian-Government-vs-EPRDF-3.191
Ethiopia vs Eritrean Separatists ELF/EPLF,1964,1991,27,,"Eritrea, Ethiopia",2,Africa,Africa,"168,510",Ethiopia vs Eritrean Separatists ELF/EPLF,,http://www.war-memorial.net/Ethiopia-vs-Eritrean-Separatists-ELF/EPLF--3.190
Nicaragua Govt vs Contras,1981,1990,9,,Nicaragua,1,South America,South America,"29,964",Nicaragua Govt vs Contras,[1],http://www.war-memorial.net/Nicaragua-Govt-vs-Contras--3.189
Lebanese Civil War,1975,1990,15,,"Lebanon, Syria, Israel, France, United States",5,"Asia, Europe, North America",Asia,"131,104",Lebanese Civil War,[7],http://www.war-memorial.net/Lebanese-Civil-War--3.187
Sri Lanka Govt vs JVP,1971,1990,19,,Sri Lanka,1,Asia,Asia,"2,018",Sri Lanka Govt vs JVP,[1],http://www.war-memorial.net/Sri-Lanka-Govt-vs-JVP-3.185
Panama Coup and United States Invasion,1989,1989,0,,"Panama, United States",2,"North America","North America",920,Panama Coup and US Invasion,,http://www.war-memorial.net/Panama-Coup-and-US-Invasion-3.316
